id,title,year,doi,n_citation,doc_type,reference_count,references
1,Someone newspaper statement who everything better.,1990,https://doi.org/10.1000/269583,487,Journal,23,750;1483;43
2,Region decision surface forward five.,2013,https://doi.org/10.1000/187956,415,Journal,5,592;790;1651;240
3,Issue know manage himself.,2010,https://doi.org/10.1000/736071,288,Journal,50,1877;1893;258;937
4,Everybody operation just ten big.,1993,https://doi.org/10.1000/723520,398,Conference,22,1756;1253;903;388;713;1801;207
5,Financial receive sell magazine beautiful learn.,1993,https://doi.org/10.1000/322973,377,Journal,43,926;295
6,Military woman million.,1990,https://doi.org/10.1000/446190,97,Journal,5,306;1024;1512;692;1371;116;1355
7,Popular skill partner still fine financial.,2012,https://doi.org/10.1000/891367,311,Conference,13,972
8,Nature health project station health.,2024,https://doi.org/10.1000/487361,45,Journal,3,857;1918;1517;460;130;1254;1104;849;1149;623
9,Bed tax social appear.,1999,https://doi.org/10.1000/733745,78,Journal,27,81;473;1867;555;1988;180
10,Also successful order fight improve.,2024,https://doi.org/10.1000/445475,370,Conference,25,252;8;46;1437;716;1923;981
11,Make lead sit off leave agree.,2020,https://doi.org/10.1000/430125,307,Journal,12,1135
12,Either fund argue very agent.,2017,https://doi.org/10.1000/662860,389,Journal,21,826;507;210
13,Though law food rest.,2018,https://doi.org/10.1000/946574,203,Conference,7,609;877;693
14,National something where painting.,2009,https://doi.org/10.1000/228762,82,Conference,19,1112;792;420;1795;1152
15,Himself sport week identify quite.,2016,https://doi.org/10.1000/469101,375,Conference,17,410;528;1315;936;887;1400;1322;684;1967;1655
16,Place vote save name.,2011,https://doi.org/10.1000/727575,56,Conference,20,1093;488;773;573
17,Others research PM major.,2000,https://doi.org/10.1000/353124,365,Journal,50,831;1376;349
18,Interest ask law money.,2006,https://doi.org/10.1000/358946,236,Journal,46,428;1898;40;787;1486;1536;1176;1959;215;581
19,Effect assume activity always.,2012,https://doi.org/10.1000/191419,57,Journal,26,597;1377;1144;669;680
