id,title,year,doi,n_citation,degree_centrality,betweenness_centrality,closeness_centrality,doc_type,reference_count,references
1,Someone newspaper statement who everything better.,1990,https://doi.org/10.1000/269583,487,0.0035017508754377185,0.002088673321511964,0.14216598021477347,Journal,23,750;1483;43
2,Region decision surface forward five.,2013,https://doi.org/10.1000/187956,415,0.005502751375687844,0.004269807027803672,0.16935034781110067,Journal,5,592;790;1651;240
3,Issue know manage himself.,2010,https://doi.org/10.1000/736071,288,0.0025012506253126563,0.0015048313255279324,0.13913904114483858,Journal,50,1877;1893;258;937
4,Everybody operation just ten big.,1993,https://doi.org/10.1000/723520,398,0.0025012506253126563,0.00231833827673715,0.13419154843917505,Conference,22,1756;1253;903;388;713;1801;207
5,Financial receive sell magazine beautiful learn.,1993,https://doi.org/10.1000/322973,377,0.0035017508754377185,0.0017078935758863948,0.13757749617842976,Journal,43,926;295
6,Military woman million.,1990,https://doi.org/10.1000/446190,97,0.003001500750375187,0.0028548905697275214,0.12586752943105173,Journal,5,306;1024;1512;692;1371;116;1355
7,Popular skill partner still fine financial.,2012,https://doi.org/10.1000/891367,311,0.0035017508754377185,0.0021395956566758337,0.1391608275757702,Conference,13,972
8,Nature health project station health.,2024,https://doi.org/10.1000/487361,45,0.0050025012506253125,0.007838103686926796,0.15721751730278727,Journal,3,857;1918;1517;460;130;1254;1104;849;1149;623
9,Bed tax social appear.,1999,https://doi.org/10.1000/733745,78,0.0005002501250625312,0.0,0.0,Journal,27,81;473;1867;555;1988;180
10,Also successful order fight improve.,2024,https://doi.org/10.1000/445475,370,0.00400200100050025,0.006776718888730343,0.15926003499913205,Conference,25,252;8;46;1437;716;1923;981
11,Make lead sit off leave agree.,2020,https://doi.org/10.1000/430125,307,0.0050025012506253125,0.004773772751999913,0.13797261900375013,Journal,12,1135
12,Either fund argue very agent.,2017,https://doi.org/10.1000/662860,389,0.003001500750375187,0.0035472470568200403,0.15444445656662723,Journal,21,826;507;210
13,Though law food rest.,2018,https://doi.org/10.1000/946574,203,0.0015007503751875936,0.0015375483915309374,0.1467796243290927,Conference,7,609;877;693
14,National something where painting.,2009,https://doi.org/10.1000/228762,82,0.002001000500250125,0.00016069104769801863,0.1049664137607956,Conference,19,1112;792;420;1795;1152
15,Himself sport week identify quite.,2016,https://doi.org/10.1000/469101,375,0.0015007503751875936,0.0,0.0,Conference,17,410;528;1315;936;887;1400;1322;684;1967;1655
16,Place vote save name.,2011,https://doi.org/10.1000/727575,56,0.0035017508754377185,0.001864634845184511,0.13506848409006936,Conference,20,1093;488;773;573
17,Others research PM major.,2000,https://doi.org/10.1000/353124,365,0.002001000500250125,0.0014046072047294881,0.12808973485806102,Journal,50,831;1376;349
18,Interest ask law money.,2006,https://doi.org/10.1000/358946,236,0.0025012506253126563,0.0007997124298206069,0.14742483624660468,Journal,46,428;1898;40;787;1486;1536;1176;1959;215;581
19,Effect assume activity always.,2012,https://doi.org/10.1000/191419,57,0.0035017508754377185,0.002644992619228102,0.12507925203189874,Journal,26,597;1377;1144;669;680
20,Task talk upon baby step.,2021,https://doi.org/10.1000/903347,14,0.0035017508754377185,0.0017267558305018899,0.1306890118833404,Journal,37,1588;1875;1470;621;1342;1671;1057;1300;1064;695
21,Live rest hit.,1995,https://doi.org/10.1000/949831,122,0.00400200100050025,0.0011961335678749945,0.14045841569540204,Journal,41,458;1998;498;1192
22,Course this four.,2019,https://doi.org/10.1000/186302,460,0.0005002501250625312,0.0,0.0,Journal,8,1258
23,Animal nor yourself.,2020,https://doi.org/10.1000/769205,423,0.0015007503751875936,0.0011252141051340172,0.12529084729860523,Conference,17,1416;98;451
24,Result ever land until beautiful.,2015,https://doi.org/10.1000/696566,357,0.0025012506253126563,0.0021673726912311117,0.13209729864932465,Journal,34,189;267;1559;1974;879;449
25,Though wife during throw real natural.,2001,https://doi.org/10.1000/927348,379,0.004502251125562781,0.0023976518658500173,0.16505722449858973,Journal,40,34;1071;916;1633;1683
26,City fact approach right factor edge.,2008,https://doi.org/10.1000/255028,27,0.002001000500250125,0.001254283581351829,0.12371250352347667,Conference,12,1859;1540;258;698;1041;420;708;105
27,Tonight guy term chance.,2002,https://doi.org/10.1000/943974,427,0.0035017508754377185,0.0029950277185621676,0.1333759473719001,Journal,5,992;243;595;731
28,Perhaps point believe significant public force.,2000,https://doi.org/10.1000/941453,306,0.00400200100050025,0.005030770865121036,0.14486562759782498,Conference,36,434;1610;549;1302;1511
29,Mother accept other.,2022,https://doi.org/10.1000/201631,181,0.0035017508754377185,0.0023893952049661047,0.13108416302546555,Journal,47,1555;1082;354;1089;1296;1970;810;1881;1926
30,Look approach record.,2022,https://doi.org/10.1000/630034,29,0.00400200100050025,0.002474746725511683,0.14206371887990032,Conference,49,180;840;1299;1362;1595;114;1886
31,Lot school really chair without.,2006,https://doi.org/10.1000/103890,187,0.0035017508754377185,0.005018652366209875,0.15337831138366664,Conference,25,1445
32,Peace reveal hot.,1991,https://doi.org/10.1000/904794,267,0.0015007503751875936,0.00015258957266510749,0.12678325610736896,Journal,33,1355;752;123;442;533;138;400;1897;1659;1269
33,Deep look toward community.,2015,https://doi.org/10.1000/959733,255,0.002001000500250125,0.0014673755362052058,0.13956511075889705,Conference,21,1588;578;9;1853
34,Box poor including position up hospital.,2017,https://doi.org/10.1000/112536,375,0.0035017508754377185,0.003697972695745579,0.1613563226784053,Journal,35,1070;1802;1887;1232;1371
35,Head plant authority office throughout.,2007,https://doi.org/10.1000/846125,313,0.0015007503751875936,0.00042599276243876315,0.12612653449409728,Conference,46,177;1516;541;1854;495;38
36,Nearly under here.,2006,https://doi.org/10.1000/530542,438,0.003001500750375187,0.0035977629164100264,0.12538806790528448,Conference,8,1577;729;517;18;1814;1426;1243
37,Music boy season whether over.,2014,https://doi.org/10.1000/874317,193,0.0025012506253126563,0.0010208060524885608,0.14013727929874747,Conference,50,91;5;1242;286;1599
38,Threat activity degree.,2011,https://doi.org/10.1000/508769,231,0.0015007503751875936,0.0,0.1398449932290886,Journal,31,1652;1869;314;520;1770;450;460;92
39,Call daughter heavy world program ask.,1992,https://doi.org/10.1000/493894,186,0.0025012506253126563,0.0029856757165974204,0.13430307900455707,Journal,20,567;1677;356;755;826;1625;780;59;1997;468
40,Water number Mrs western the.,2015,https://doi.org/10.1000/289578,174,0.00400200100050025,0.003190171302121154,0.14185963692141362,Conference,38,1129
41,Your glass phone most one good.,2023,https://doi.org/10.1000/654169,37,0.004502251125562781,0.0008906922287987641,0.12393677664379535,Journal,31,332;1526;582;133;1950;584;551
42,Officer probably major admit anything program.,1997,https://doi.org/10.1000/642788,420,0.002001000500250125,0.0013585120799245569,0.14520882694431114,Journal,38,314;801;740;760;1935;1482;799;669;113;450
43,Something page Democrat.,2019,https://doi.org/10.1000/713219,89,0.003001500750375187,0.0026005628601646256,0.14520882694431114,Journal,28,1656;465
44,Performance source enjoy product beautiful.,1990,https://doi.org/10.1000/488170,179,0.0050025012506253125,0.006488223598696618,0.1438573365672801,Journal,14,198;1804;1785;1262;819;1647;578;1845
