id,title,year,n_citation,doc_type,reference_count,references,doi
2471944230,Signatures verification based on PNN classifier optimised by PSO algorithm,2016.0,29,Journal,52.0,72894359;234566590;1480822059;1495297318;1500957182;1528113134;1565746575;1835740130;1968527039;1971682212;1990766933;1993948751;2000268097;2003129348;2004417280;2026190351;2028164392;2032199117;2037768235;2040555273;2042106922;2053106046;2059517800;2060755870;2061828128;2066578341;2076606979;2087291293;2093804096;2094411935;2095571897;2095871931;2096505476;2101385198;2111514049;2117489990;2118002292;2119479037;2120512286;2131991463;2133990480;2137775294;2142069714;2144994235;2149273020;2149340496;2149506675;2153635508;2156727064;2166388477;2189414701;2911964244,https://doi.org/10.1016/j.patcog.2016.06.032
2134500865,Polytope representations for linear-programming decoding of non-binary linear codes,2008.0,4,Conference,6.0,301824129;1652876111;2021644092;2033546746;2169134868;2170862479,https://doi.org/10.1109/ISIT.2008.4595239
2049940622,"A stable, direct solver for the gradient equation",2003.0,0,Journal,2.0,1990339299;2064991465,https://doi.org/10.1090/S0025-5718-02-01436-9
2775360933,Human-centered application using cyber-physical production system,2017.0,3,Conference,12.0,1489236699;1792154738;1967904196;1990911977;2022649085;2398292915;2533375831;2569454357;2586073387;2614066589;2614235045;2769806591,https://doi.org/10.1109/iecon.2017.8217517
2027021827,Localization techniques for underwater acoustic sensor networks,2010.0,81,Journal,12.0,1608371393;2006049262;2040664923;2058483197;2099052762;2099195722;2104261215;2112989857;2119717304;2125336813;2133485908;2140676941,https://doi.org/10.1109/MCOM.2010.5673086
2072949357,Largemargin classification for combating disguise attacks on spam filters,2012.0,5,Journal,15.0,3805906;149581298;2012992615;2033485922;2089933214;2104911605;2128884519;2130399617;2141588879;2147609908;2147898188;2153635508;2169384781;2293768274;2296452361,https://doi.org/10.1631/jzus.C1100259
1969441431,Computer aided ECG analysis — State of the art and upcoming challenges,2013.0,9,Conference,16.0,1483634300;1584188478;1967354775;1976741807;1988183757;2012901092;2015011285;2035381272;2052873190;2074820813;2081856525;2090916474;2121098759;2134798614;2160924754;2165009002,https://doi.org/10.1109/EUROCON.2013.6625218
1565476956,Features of an independent open learner model influencing uptake by university students,2010.0,3,Conference,10.0,29808354;179602177;1514452847;1520256723;1533849852;1535682146;1538905177;1621525304;2126451734;2150225696,https://doi.org/10.1007/978-3-642-13470-8_38
1983205204,An exploratory study of the selection of communication media: The relationship between flow and communication outcomes,2008.0,29,Conference,22.0,1513402407;1543672175;1552307273;1552483424;1561703855;1586673878;1591574350;1606169904;1972888601;1991871503;1999484385;2006755985;2013084397;2030306182;2066699491;2080858097;2083749855;2087125633;2128740346;2158465639;2163020995;2166328340,https://doi.org/10.1016/j.dss.2008.02.002
2039378114,Archive knowledge discovery by proxy cache,2004.0,3,Journal,10.0,1779735989;1860995734;1981663733;1983831830;2021694214;2044578326;2138621811;2158874082;2160484851;2166227910,https://doi.org/10.1108/10662240410516309
2510628995,A Database Assisted Quality of Service and Pricing Based Spectrum Allocation Framework for TV White Spaces,2017.0,3,Journal,13.0,66471175;1513283015;1970240007;1985606812;2007499023;2052220452;2054711298;2060097979;2096445988;2150957281;2165551776;2165620401;2963786321,https://doi.org/10.1007/s11277-016-3617-x
1583831111,Why Persist with DSS when the Real Issue is Improving Decision Making,1992.0,25,Conference,1.0,2045066785,https://doi.org/10.1016/B978-0-444-89673-5.50005-7
2766911416,Automatic 3D Design for Efficiency Optimization of a Class E Power Amplifier,2018.0,1,Journal,8.0,1555707411;2017719500;2027636976;2044652848;2048609876;2109699407;2342787820;2530610040,https://doi.org/10.1109/TCSII.2017.2765249
2139380195,An alternative model for integrated vendor-buyer inventory under controllable lead time and its heuristic solution,2007.0,11,Journal,9.0,1966433557;2025023143;2029603912;2040312808;2046788554;2056080064;2068384590;2115438001;2149210090,https://doi.org/10.1080/00207720701358966
1557946750,Prefetching Tiled Internet Data Using a Neighbor Selection Markov Chain,2001.0,4,Journal,12.0,103012445;1639378333;1772464603;1893265708;1969221862;1971113501;2015190123;2049482525;2074919500;2108523040;2120500054;2137847645,https://doi.org/10.1007/3-540-48206-7_9
2471389532,"Attracting Job-Seekers Through Online Job Advertisements: Application of RJPs, Blogs and Video Podcasts",2016.0,1,Journal,8.0,1552483424;1572145800;1783768447;1791587663;1966375980;1995046486;2002928646;2142822317,https://doi.org/10.4018/IJTHI.2016070101
2899720044,Robustifying Sequential Multiple Hypothesis Tests in Distributed Sensor Networks,2018.0,1,Conference,7.0,1999177119;2144750054;2608317305;2613721479;2799972048;2964133199;2964162662,https://doi.org/10.23919/eusipco.2018.8553488
2160680774,Turbo-Coded MIMO Iterative Receiver with Bit Per Bit Interference Cancellation for M-QAM Gray Mapping Modulation,2007.0,3,Conference,3.0,2080918425;2115823659;2122466299,https://doi.org/10.1109/VETECS.2007.494
2085802971,Organizing synthetic agent behaviors based on a motif architecture,1999.0,2,Conference,4.0,1640247718;1967121925;1980414569;2137171066,https://doi.org/10.1145/301136.301224
2055701814,Transmit Solutions for MIMO Wiretap Channels using Alternating Optimization,2013.0,118,Journal,33.0,1527687627;1675936167;1970334960;1970830346;1976071028;1978259121;2017249840;2025488327;2034443306;2043769961;2045172350;2060416030;2072563372;2082639035;2096151870;2101726439;2102580724;2104478100;2112225694;2125113829;2125884950;2128153585;2133108373;2133406100;2135137654;2138903952;2144007657;2146139417;2159437533;2163762663;2166606237;2171006634;2963014570,https://doi.org/10.1109/JSAC.2013.130906
2521481239,PostBits: using contextual locations for embedding cloud information in the home,2016.0,0,Conference,29.0,1487916660;1506455352;1531657126;1573011053;1579420825;1971197532;1991847591;1995159630;2002582316;2017849327;2023331673;2023406890;2023512204;2041387208;2052384053;2061530813;2066646322;2068389981;2118772539;2118981997;2125551333;2127841983;2127957107;2133433800;2133508506;2134661848;2158508294;2172064665;2296370947,https://doi.org/10.1007/s00779-016-0967-z
2099167610,Effect of Spatial Alignment Transformations in PCA and ICA of Functional Neuroimages,2007.0,3,Journal,3.0,1919574642;2006858449;2013115634,https://doi.org/10.1109/TMI.2007.896928
2615459756,Supporting Accessibility in Higher Education Information Systems: A 2016 Update,2017.0,7,Conference,3.0,112905895;2059464277;2243335534,https://doi.org/10.1007/978-3-319-58706-6_19
2156941587,Efficient data hiding with histogram-preserving property,2012.0,8,Journal,7.0,1490898761;1512190422;1890251613;1908581482;2148808559;2164789387;2169947568,https://doi.org/10.1007/s11235-010-9364-5
2154247074,"Documenting Work and Working Documents: Perspectives from Workplace Studies, CSCW, and Genre Studies",2011.0,9,Conference,15.0,126234184;189702515;1522995302;1557001749;1645433551;2016278946;2065367771;2085443629;2099548935;2100059775;2102518549;2111135501;2145199549;2166530471;2912410314,https://doi.org/10.1109/HICSS.2011.170
2598660323,Discover trends in public emotion using social sensing,2017.0,0,Journal,1.0,2599253365,https://doi.org/10.1145/3065953.3065955
2785127796,"Map-Matching Algorithms for Robot Self-Localization: A Comparison Between Perfect Match, Iterative Closest Point and Normal Distributions Transform",2019.0,13,Journal,9.0,1517229131;1567242735;2049981393;2091917610;2105771760;2131439959;2145178709;2191462733;2566382082,https://doi.org/10.1007/s10846-017-0765-5
2014134732,Topical locality in the Web,2000.0,278,Conference,21.0,1489992655;1500229497;1605217017;1610765524;1659541576;1981202432;1987777228;2006119904;2012516036;2020423193;2029341294;2042330455;2043403353;2066636486;2076008912;2079672501;2085950095;2098162425;2119859154;2121996546;2141825421,https://doi.org/10.1145/345508.345597
2068641378,On the average state and transition complexity of finite languages,2007.0,17,Journal,18.0,63217226;120113369;136845799;1519163652;1566446734;1584587517;1595331547;1606484542;1620393779;1969958990;2006629323;2013433986;2053605285;2056137446;2080108335;2404583597;2525803005;2913383557,https://doi.org/10.1016/j.tcs.2007.07.035
2138621857,Wavelet Packet based Strategy to Mitigate Wideband Interference on Impulse Radio,2007.0,7,Conference,1.0,2052651750,https://doi.org/10.1109/PIMRC.2007.4394151
1971577239,Linear Programming Computational Procedures for Ordinal Regression,1976.0,22,Journal,1.0,2037209059,https://doi.org/10.1145/321958.321969
2128695877,A symmetrization of the Subspace Gaussian Mixture Model,2011.0,13,Conference,3.0,1582482241;1981706894;2151402979,https://doi.org/10.1109/ICASSP.2011.5947355
2440118063,A Proposal for Modelling Agrifood Chains as Multi Agent Systems,2016.0,1,Conference,33.0,10117451;70575393;83116077;191090187;194177591;262613642;995542185;1225528899;1542243438;1900017563;1914870709;2014743412;2015191210;2022179267;2028643340;2033902947;2050929555;2057234686;2089202304;2103738827;2128672031;2130766754;2139892690;2144429263;2147032551;2149602309;2160643434;2167073044;2167302448;2245485929;2295445693;2397864942;2406552278,https://doi.org/10.1007/978-3-319-40596-4_42
1517544542,On Cross-Modal Perception of Musical Tempo and the Speed of Human Movement,2008.0,2,Conference,2.0,2159080219;2160337655,https://doi.org/10.1007/978-3-540-85035-9_16
2115905618,An industrial case study of the verification and validation activities,2003.0,30,Conference,10.0,1562373550;1970565328;1971585360;1981600111;2006806790;2046876961;2068127755;2120813060;2157657084;2161407365,https://doi.org/10.1109/METRIC.2003.1232470
2106830274,Robust Change-Detection by Normalised Gradient-Correlation,2007.0,6,Conference,8.0,1499877760;1994304612;2102625004;2114701396;2136748901;2143425433;2164208630;2164598857,https://doi.org/10.1109/CVPR.2007.383516
